,0
1484,15023101
1485,15339102
1486,17659101
1487,13068102
1488,36955101
1489,14167101
1490,39122101
1491,31634101
1492,30771101
1493,38932103
1494,37135101
1495,34802104
1496,38803101
1497,30913102
1498,15836101
1499,30243101
1500,17483101
1501,13865101
1502,36836101
1503,36669102
1504,37767101
1505,34004102
1506,32170101
1507,10632102
1508,13413103
1509,13332101
1510,37972101
1511,31291105
1512,14617102
1513,31443101
1514,32412101
1515,16384101
1516,10353101
1517,17234101
1518,36358102
1519,11641101
1520,37826101
1521,15411102
1522,34799102
1523,12531102
1524,33556101
1525,17434102
1526,17998101
1527,13355101
1528,17419101
1529,14946102
1530,13923101
1531,12317101
1532,10294101
1533,11233101
1534,10947101
1535,16018102
1536,34493102
1537,10146102
1538,10711101
1539,16600101
1540,30074102
1541,31520101
1542,12342103
1543,11836101
1544,15366101
1545,37652102
1546,31376101
1547,10314102
1548,37990201
1549,31376102
1550,30786102
1551,10793102
1552,13385101
1553,36278101
1554,31363102
1555,12191101
1556,16989101
1557,33988101
1558,30011101
1559,38581101
1560,36297101
1561,10374101
1562,17756101
1563,18073101
1564,12650101
1565,15492101
1566,38094102
1567,30988102
1568,34624101
1569,33919101
1570,14825101
1571,18669102
1572,11503101
1573,33928102
1574,10464104
1575,36936101
1576,18043102
1577,36886101
1578,33384102
1579,11004101
1580,35713101
1581,10353102
1582,15397101
1583,33802101
1584,35673103
1585,13204101
1586,30712101
1587,12682101
1588,15411101
1589,37597103
1590,12166101
1591,18425104
1592,31779102
1593,30041101
1594,13380101
1595,39074101
1596,33201102
1597,10067101
1598,15525102
1599,30747101
1600,35560101
1601,14311102
1602,17263106
1603,38985103
1604,18439102
1605,17068101
1606,31937101
1607,18104101
1608,11641102
1609,39147101
1610,32762102
1611,14514101
1612,10086102
1613,32195101
1614,14259102
1615,18349102
1616,30662102
1617,12215101
1618,15095102
1619,34938101
1620,38593101
1621,33182101
1622,17283102
1623,35773101
1624,13865102
1625,16485101
1626,32182101
1627,35523101
1628,17591103
1629,32669101
1630,14979101
1631,35078102
1632,18138101
1633,17596102
1634,32589101
1635,18222102
1636,35906101
1637,37233101
1638,13945101
1639,33108102
1640,17876101
1641,32169102
1642,34930102
1643,13020101
1644,17614101
1645,38282101
1646,32678102
1647,32130102
1648,35329102
1649,31084101
1650,34219101
1651,30187102
1652,38910102
1653,37214101
1654,11539101
1655,11554101
1656,36878101
1657,37642101
1658,18385101
1659,31550101
1660,39184101
1661,35040101
1662,31256101
1663,30250103
1664,18104103
1665,36337102
1666,13515102
1667,34758101
1668,33890102
1669,32408101
1670,16328101
1671,16669101
1672,17956102
1673,12682102
1674,14989101
1675,33585101
1676,11371101
1677,13379101
1678,13976101
1679,32376101
1680,11710104
1681,36280101
1682,10865102
1683,12562102
1684,16066101
1685,16757101
1686,36988102
1687,32892101
1688,34374101
