Final,Weight
FALSE,7145.8
FALSE,2629.11
FALSE,9211.72
10425101,36282.55
FALSE,31187.15
FALSE,6237
FALSE,5953.33
FALSE,7833.51
FALSE,7668.23
FALSE,5688.39
FALSE,10557.15
FALSE,13814.18
FALSE,14423.52
FALSE,10109.56
10435101,9897.77
10435102,9110.57
FALSE,8783.13
FALSE,8783.13
FALSE,14845.28
FALSE,16619.49
FALSE,0
FALSE,0
FALSE,16421.52
FALSE,16595.68
10439101,13584.19
10439102,8821.06
FALSE,10922.39
10441101,6317.1
10441102,7972.4
FALSE,10648.49
10442101,4650.81
FALSE,2291.11
FALSE,2407.44
FALSE,5092.28
FALSE,2670.56
FALSE,33903.7
FALSE,35061.83
10446101,35763.15
FALSE,27195.71
FALSE,8997.37
FALSE,7614.42
FALSE,17345.07
FALSE,18306.63
10453101,7444.73
FALSE,3112.6
FALSE,3383.27
FALSE,2773.38
FALSE,2407.28
10455101,6118.72
10456101,19154.14
FALSE,2517.68
10458102,1588.76
FALSE,2236.13
FALSE,3027.77
10460101,12457.65
10460102,12273.17
FALSE,9764.83
FALSE,10121.91
FALSE,12853
10461101,25676.57
FALSE,8305.17
FALSE,5977.62
FALSE,8687.29
FALSE,8196.76
FALSE,5307.85
FALSE,3954.77
FALSE,1706.55
10464101,12235.37
10464102,11663.36
10464103,19021.5
10464104,10673.42
FALSE,15602.05
FALSE,0
10471101,5286.4
FALSE,9859.36
FALSE,11608.49
FALSE,10204.6
FALSE,9211.62
10473101,12346.76
FALSE,3252.75
FALSE,4452.82
FALSE,4736.91
FALSE,2620.21
FALSE,3058.87
FALSE,4932.08
FALSE,6133.26
FALSE,4509.11
FALSE,9068.85
FALSE,3437.78
FALSE,3669.86
FALSE,0
FALSE,6015.36
FALSE,4027.47
FALSE,3629.93
FALSE,6437.44
FALSE,6279.82
FALSE,7669.15
FALSE,6579.78
10483101,7176.47
10484101,20342.98
10484103,13972.32
10485101,2609.41
FALSE,1695.73
FALSE,2226.77
FALSE,2393.47
FALSE,1164.13
FALSE,2393.36
FALSE,1845.89
FALSE,0
FALSE,0
FALSE,0
FALSE,0
FALSE,5497.52
FALSE,3877.98
FALSE,3725.45
10487101,1342.6
FALSE,7431.73
FALSE,12136.21
FALSE,22038.22
FALSE,2514.3
10491101,4604.61
FALSE,4380.69
FALSE,5359.25
FALSE,3613.86
FALSE,4191.46
FALSE,4828.9
FALSE,3756.05
FALSE,3756.05
10495101,7878.52
10496101,5789.85
FALSE,8501.9
FALSE,15385.12
FALSE,10676.75
FALSE,11362.2
FALSE,13731.84
FALSE,2348.8
FALSE,2145.34
FALSE,3699.64
10502101,11275.8
FALSE,11036.42
FALSE,7654.01
FALSE,10977.53
FALSE,16242.74
FALSE,1814.87
FALSE,1641.12
FALSE,1626.33
FALSE,0
FALSE,0
FALSE,0
FALSE,15922.51
FALSE,17096.11
FALSE,21216.7
10507101,12394.29
FALSE,10127.87
FALSE,7763.89
FALSE,8605.24
FALSE,6694.05
FALSE,1401.31
FALSE,1477.64
FALSE,1303.87
FALSE,2176.14
10510101,5130.61
10510102,3712.1
10511101,13934.36
10511102,6305.04
FALSE,4013.5
FALSE,4527.51
FALSE,6056.85
FALSE,4551.17
FALSE,6750.43
FALSE,5522.15
FALSE,5639.88
FALSE,29681.57
FALSE,12580.06
FALSE,15573.99
FALSE,21816.1
FALSE,11482.7
FALSE,5159.59
FALSE,7189.07
FALSE,10302.48
FALSE,7152.68
10521101,5171.59
FALSE,18609.71
FALSE,8667.89
FALSE,10112.15
FALSE,11349.42
FALSE,10083.91
FALSE,7293.41
FALSE,12529.04
FALSE,20615.2
FALSE,5049.96
10528101,16733.66
10529101,12753.07
FALSE,5103.8
FALSE,5045.2
FALSE,11740.65
FALSE,8572.64
FALSE,9017.95
FALSE,9292.18
FALSE,13736.11
FALSE,7576.54
FALSE,10959.28
FALSE,4290.27
FALSE,4733.85
FALSE,4930.84
FALSE,6587.83
FALSE,15150.31
FALSE,8027.17
FALSE,9513.63
10544101,18592.7
FALSE,0
FALSE,5480.82
FALSE,4890.4
FALSE,7537.7
FALSE,3618.72
FALSE,4138.3
FALSE,4185.82
FALSE,6229.82
FALSE,6459.05
FALSE,3309.16
FALSE,7405.84
FALSE,7041.35
FALSE,5589.17
FALSE,9360.79
10552101,23107.22
10552102,16591.3
FALSE,25308.44
FALSE,12088.16
10554102,20286.03
FALSE,5007.39
FALSE,3615.42
FALSE,7500.05
FALSE,16514.66
FALSE,3674.79
FALSE,4054.19
FALSE,3230.93
FALSE,4642.73
10563101,21571.91
10563102,10552.02
10563103,13493.73
FALSE,6421.13
FALSE,4553.31
FALSE,10617.78
FALSE,15999.33
FALSE,3488.37
FALSE,3932.02
FALSE,3586.97
FALSE,3637.25
FALSE,3214.36
FALSE,5026.8
FALSE,4924.73
FALSE,5431.89
FALSE,6116.03
FALSE,7776.3
FALSE,0
FALSE,0
FALSE,8872.04
10572101,17196.2
FALSE,10515.88
FALSE,9925.83
FALSE,11087.05
10573101,3041.8
10573102,3261.8
FALSE,2829.05
FALSE,15357.23
FALSE,0
10575103,0
10576101,9492.2
10576102,7026.53
FALSE,9343.62
10576104,6237.96
FALSE,6882.21
FALSE,7258.52
FALSE,12725.37
FALSE,7048.27
FALSE,2967.48
FALSE,12220.94
FALSE,15019.82
FALSE,18573.13
FALSE,3912.85
FALSE,7174.97
FALSE,5959.16
FALSE,4787.04
FALSE,4000.01
FALSE,4304.41
10587101,4729.18
FALSE,7045.18
FALSE,4388.25
FALSE,6415.24
